OperatorRef,LineName,JourneyRef
TFLO,SL1,575382
TFLO,SL1,575304
TFLO,50,124654
ANEA,29,1547
TFLO,U3,706168
SCMY,19,135
FMAN,81,1650
AMSY,300,1048
SCNE,E1,45
SCSO,10,51
AKSS,3,1089
HEDO,TUB,1520
FECS,11,127
FSMR,38,1755
PLYC,21A,124
GNEL,28B,2855
FBRA,614,2008
TFLO,172,524980
ARHE,3,1082
SCNE,38,48
SCNE,4,130
SCEM,240,3077
FBRI,45,1942
TFLO,12,499172
NVTR,130,1755
FESX,25,54
SESX,C7,1510
TFLO,119,260768
FLDS,13,2105
TFLO,139,684635
SCMN,42B,7044
SCNE,58,115
SCNE,37,206
TFLO,358,89528
TFLO,SL8,88008
TFLO,W7,683571
ARHE,308,1058
MDCL,A52,4
SCCM,8,51
GNEL,41A,4191
TFLO,381,335903
SCNE,71,31
SCSO,39,99
VECT,701,70165
AMSY,86A,1154
SCEK,Tria,110
TCVW,9,81
ARBB,A,5069
TFLO,G1,306654
SDVN,44A,33
UNIL,U1A,2110
BNGN,9,1134
TFLO,257,255434
SDVN,B,64
TFLO,126,361416
FSYO,141,2012
FBRI,172,1759
BRYL,B7,1645
TFLO,301,83778
SMMC,428,1900
FBRI,D2x,1915
NUTT,24,1645
NVTR,77,1330
NT,35,NT35-In-22035-NT3390BU05-2024-02-12T08:37:00-2024-02-12
TFLO,W14,331508
SCEK,99,44
SCNE,30,81
TFLO,430,479639
SCGL,10,127
SCEM,5,1147
TFLO,14,395508
GNEL,1,1089
SCGL,23,28
THTR,143,4009
FBRI,m1,1945
DIAM,8,23
TNXB,3,165
DIAM,226,46
SCSO,17,28
BLUS,18,2031
WBSV,441,48
SYRK,39,69
TNXB,17,173
AMTM,A,1160
SCNE,3,105
TFLO,213,175948
FMAN,127,1530
SCNH,41,29
SCOX,TUBE,128
SCSO,1,118
TFLO,76,330997
AMSY,407,1073
RBTS,203,1130
BNDB,66,2100
SCEK,9X,16
SESX,313,1756
ARBB,4,1072
TFLO,76,330784
TFLO,381,336066
TFLO,379,94618
FBRI,70,1800
