RecordedAtTime,ResponseTimestamp,Latency,OperatorRef
2024-02-23 14:21:37+00:00,2024-02-23 14:38:57.824173+00:00,120.0,SWCO
2024-02-23 14:24:59+00:00,2024-02-23 14:39:08.368680+00:00,120.0,SWCO
2024-02-23 14:29:20+00:00,2024-02-23 14:39:18.896512+00:00,120.0,SWCO
2024-02-23 14:32:38+00:00,2024-02-23 14:39:29.398088+00:00,120.0,SWCO
2024-02-23 14:18:35+00:00,2024-02-23 14:39:50.509965+00:00,120.0,SWCO
2024-02-23 14:18:38+00:00,2024-02-23 14:40:01.026029+00:00,120.0,SWCO
2024-02-23 14:21:00+00:00,2024-02-23 14:40:11.576602+00:00,120.0,SWWD
2024-02-23 14:23:33+00:00,2024-02-23 14:40:22.110111+00:00,120.0,SWWD
2024-02-23 14:32:55+00:00,2024-02-23 14:40:53.725115+00:00,120.0,SWWD
2024-02-23 14:32:16+00:00,2024-02-23 14:40:53.725115+00:00,120.0,FSRV
2024-02-23 14:38:39+00:00,2024-02-23 14:41:04.238591+00:00,120.0,SCGL
2024-02-23 14:37:20+00:00,2024-02-23 14:41:14.731537+00:00,120.0,SWWD
2024-02-23 14:36:25+00:00,2024-02-23 14:41:14.731537+00:00,120.0,FSRV
2024-02-23 14:39:20+00:00,2024-02-23 14:41:25.248341+00:00,120.0,SWWD
2024-02-23 14:37:21+00:00,2024-02-23 14:41:25.248341+00:00,120.0,TDTR
2024-02-23 14:36:36+00:00,2024-02-23 14:41:46.318163+00:00,120.0,FSRV
2024-02-23 14:36:40+00:00,2024-02-23 14:43:10.678515+00:00,120.0,SCGL
2024-02-23 14:39:42+00:00,2024-02-23 14:43:21.211460+00:00,120.0,SCGL
2024-02-23 14:44:00+00:00,2024-02-23 14:46:20.390620+00:00,120.0,FBRI
2024-02-23 14:43:39+00:00,2024-02-23 14:48:58.530019+00:00,120.0,TDTR
2024-02-23 14:46:59+00:00,2024-02-23 14:49:09.079509+00:00,120.0,SWCO
2024-02-23 14:47:09+00:00,2024-02-23 14:51:37.231947+00:00,120.0,FBRI
2024-02-23 14:49:47+00:00,2024-02-23 14:52:40.544823+00:00,120.0,SCGL
2024-02-23 14:49:55+00:00,2024-02-23 14:53:12.342558+00:00,120.0,SCGL
2024-02-23 14:47:29+00:00,2024-02-23 14:53:12.342558+00:00,120.0,SCGL
2024-02-23 14:51:18+00:00,2024-02-23 14:55:08.693767+00:00,120.0,FSRV
2024-02-23 14:52:17+00:00,2024-02-23 14:57:36.585139+00:00,120.0,SWWD
2024-02-23 14:56:09+00:00,2024-02-23 14:59:11.681963+00:00,120.0,NATX
2024-02-23 14:54:40+00:00,2024-02-23 14:59:43.477487+00:00,120.0,FSRV
2024-02-23 14:52:23+00:00,2024-02-23 15:00:04.577015+00:00,120.0,FSRV
2024-02-23 14:54:08+00:00,2024-02-23 15:00:15.140177+00:00,120.0,FSRV
2024-02-23 14:57:03+00:00,2024-02-23 15:00:25.746669+00:00,120.0,FSRV
2024-02-23 14:49:22+00:00,2024-02-23 15:00:25.746669+00:00,120.0,COAC
2024-02-23 14:58:17+00:00,2024-02-23 15:00:36.328655+00:00,120.0,FSRV
2024-02-23 14:55:03+00:00,2024-02-23 15:01:29.214645+00:00,120.0,SWWD
2024-02-23 14:56:34+00:00,2024-02-23 15:01:39.827659+00:00,120.0,SWWD
2024-02-23 14:58:14+00:00,2024-02-23 15:02:01.204000+00:00,120.0,SCGL
2024-02-23 14:19:46+00:00,2024-02-23 15:03:57.447251+00:00,120.0,COAC
2024-02-23 14:37:14+00:00,2024-02-23 15:04:07.978642+00:00,120.0,COAC
2024-02-23 14:39:37+00:00,2024-02-23 15:04:18.547589+00:00,120.0,COAC
2024-02-23 15:00:44+00:00,2024-02-23 15:04:50.189129+00:00,120.0,WDBC
2024-02-23 15:00:23+00:00,2024-02-23 15:02:22.320825+00:00,119.320825,SWWD
2024-02-23 14:00:07+00:00,2024-02-23 14:02:04.130305+00:00,117.130305,SWWD
2024-02-23 13:49:48+00:00,2024-02-23 13:51:43.231807+00:00,115.231807,FSRV
2024-02-23 14:09:58+00:00,2024-02-23 14:11:52.611358+00:00,114.611358,TDTR
2024-02-23 14:44:26+00:00,2024-02-23 14:46:20.390620+00:00,114.39062,TDTR
2024-02-23 14:50:05+00:00,2024-02-23 14:51:58.263126+00:00,113.263126,SWCO
2024-02-23 14:14:23+00:00,2024-02-23 14:16:16.101893+00:00,113.101893,SWWD
2024-02-23 14:00:22+00:00,2024-02-23 14:02:14.617548+00:00,112.617548,SWWD
2024-02-23 14:58:12+00:00,2024-02-23 15:00:04.577015+00:00,112.577015,FBRI
2024-02-23 15:01:45+00:00,2024-02-23 15:03:36.337178+00:00,111.337178,FBRI
2024-02-23 13:43:13+00:00,2024-02-23 13:45:04.265008+00:00,111.265008,TDTR
2024-02-23 14:44:10+00:00,2024-02-23 14:45:59.283000+00:00,109.283,BZCO
2024-02-23 13:52:43+00:00,2024-02-23 13:54:31.086624+00:00,108.086624,NATX
2024-02-23 14:48:36+00:00,2024-02-23 14:50:23.021070+00:00,107.02107,SCGL
2024-02-23 13:52:03+00:00,2024-02-23 13:53:49.115875+00:00,106.115875,FSRV
2024-02-23 13:41:44+00:00,2024-02-23 13:43:30.028935+00:00,106.028935,TDTR
2024-02-23 14:35:07+00:00,2024-02-23 14:36:50.263365+00:00,103.263365,SCGL
2024-02-23 14:59:46+00:00,2024-02-23 15:01:29.214645+00:00,103.214645,SCGL
2024-02-23 14:55:54+00:00,2024-02-23 14:57:36.585139+00:00,102.585139,TDTR
2024-02-23 15:02:37+00:00,2024-02-23 15:04:18.547589+00:00,101.547589,TDTR
2024-02-23 14:27:24+00:00,2024-02-23 14:29:05.486292+00:00,101.486292,NATX
2024-02-23 14:59:27+00:00,2024-02-23 15:01:08.128634+00:00,101.128634,TDTR
2024-02-23 14:50:39+00:00,2024-02-23 14:52:19.406958+00:00,100.406958,SWWD
2024-02-23 14:01:48+00:00,2024-02-23 14:03:28.261239+00:00,100.261239,TDTR
2024-02-23 13:41:42+00:00,2024-02-23 13:43:19.495020+00:00,97.49502,TDTR
2024-02-23 14:37:00+00:00,2024-02-23 14:38:35.572050+00:00,95.57205,SWWD
2024-02-23 14:53:44+00:00,2024-02-23 14:55:19.219354+00:00,95.219354,NATX
2024-02-23 13:55:13+00:00,2024-02-23 13:56:47.931119+00:00,94.931119,TDTR
2024-02-23 14:43:00+00:00,2024-02-23 14:44:34.891324+00:00,94.891324,SCGL
2024-02-23 14:44:47+00:00,2024-02-23 14:46:20.390620+00:00,93.39062,SWWD
2024-02-23 13:37:35+00:00,2024-02-23 13:39:08.053105+00:00,93.053105,LTRV
2024-02-23 14:56:46+00:00,2024-02-23 14:58:18.919173+00:00,92.919173,TDTR
2024-02-23 13:31:29+00:00,2024-02-23 13:33:01.548338+00:00,92.548338,SWWD
2024-02-23 13:52:59+00:00,2024-02-23 13:54:31.086624+00:00,92.086624,SWWD
2024-02-23 14:19:40+00:00,2024-02-23 14:21:10.838286+00:00,90.838286,TDTR
2024-02-23 14:30:24+00:00,2024-02-23 14:31:54.666381+00:00,90.666381,SCGL
2024-02-23 14:44:29+00:00,2024-02-23 14:45:59.283000+00:00,90.283,NATX
2024-02-23 13:53:43+00:00,2024-02-23 13:55:13.020208+00:00,90.020208,SWCO
2024-02-23 14:02:10+00:00,2024-02-23 14:03:38.773620+00:00,88.77362,SWWD
2024-02-23 13:54:16+00:00,2024-02-23 13:55:44.568869+00:00,88.568869,TDTR
2024-02-23 13:53:56+00:00,2024-02-23 13:55:23.588996+00:00,87.588996,FSRV
2024-02-23 14:37:20+00:00,2024-02-23 14:38:46.186315+00:00,86.186315,FBRI
2024-02-23 14:00:38+00:00,2024-02-23 14:02:04.130305+00:00,86.130305,FBRI
2024-02-23 14:25:02+00:00,2024-02-23 14:26:27.063559+00:00,85.063559,FBRI
2024-02-23 15:02:01+00:00,2024-02-23 15:03:25.783068+00:00,84.783068,TDTR
2024-02-23 14:40:22+00:00,2024-02-23 14:41:46.318163+00:00,84.318163,TDTR
2024-02-23 14:08:54+00:00,2024-02-23 14:10:18.010234+00:00,84.010234,FSRV
2024-02-23 13:47:01+00:00,2024-02-23 13:48:23.716233+00:00,82.716233,TDTR
2024-02-23 14:05:25+00:00,2024-02-23 14:06:47.676480+00:00,82.67648,TDTR
2024-02-23 13:30:58+00:00,2024-02-23 13:32:19.608194+00:00,81.608194,SWWD
2024-02-23 13:57:02+00:00,2024-02-23 13:58:23.096829+00:00,81.096829,TDTR
2024-02-23 14:21:57+00:00,2024-02-23 14:23:17.374284+00:00,80.374284,FRMN
2024-02-23 14:46:15+00:00,2024-02-23 14:47:34.127790+00:00,79.12779,FSRV
2024-02-23 14:51:11+00:00,2024-02-23 14:52:29.994275+00:00,78.994275,SWWD
2024-02-23 14:19:31+00:00,2024-02-23 14:20:49.695601+00:00,78.695601,NATX
2024-02-23 13:59:01+00:00,2024-02-23 14:00:19.154531+00:00,78.154531,TDTR
2024-02-23 14:05:30+00:00,2024-02-23 14:06:47.676480+00:00,77.67648,COAC
2024-02-23 13:31:02+00:00,2024-02-23 13:32:19.608194+00:00,77.608194,SWWD
2024-02-23 14:07:26+00:00,2024-02-23 14:08:43.348266+00:00,77.348266,FBRI
2024-02-23 13:58:41+00:00,2024-02-23 13:59:58.131262+00:00,77.131262,FBRI
2024-02-23 14:10:04+00:00,2024-02-23 14:11:21.107446+00:00,77.107446,FBRI
2024-02-23 13:31:04+00:00,2024-02-23 13:32:19.608194+00:00,75.608194,CTSW
2024-02-23 13:53:26+00:00,2024-02-23 13:54:41.581740+00:00,75.58174,FRMN
2024-02-23 13:45:13+00:00,2024-02-23 13:46:28.116561+00:00,75.116561,TDTR
2024-02-23 13:31:05+00:00,2024-02-23 13:32:19.608194+00:00,74.608194,SCGL
2024-02-23 14:00:29+00:00,2024-02-23 14:01:43.053770+00:00,74.05377,SWWD
