OperatorRef,LineName,JourneyRef,JourneyDate
AMSY,26,5065,2024-02-18
AMSY,10,5116,2024-02-18
PCCO,LCCC051W,0800,2024-02-17
LCIS,25,VJ_59,2024-02-17
HUYT,39,1845,2024-02-18
FSYO,97,1515B,2024-02-17
NATX,133,133105,2024-02-18
SCMN,85,51,2024-02-18
FSYO,56,1725,2024-02-17
WBTR,9A,9520,2024-02-17
FSYO,95,1806,2024-02-18
SYRK,52,48,2024-02-18
HUYT,1591,1834,2024-02-18
FSYO,20,1811F,2024-02-17
SYRK,108,509,2024-02-18
SCMN,142,2005,2024-02-18
SYRK,86,49,2024-02-17
WBTR,22A,8536,2024-02-17
SCMN,101,9063,2024-02-18
ANWE,X30,3021,2024-02-17
SCMN,23,40,2024-02-18
ANWE,263,5041,2024-02-18
SCMN,142,199,2024-02-18
ANWE,263,5046,2024-02-18
SYRK,21,524,2024-02-17
A2BV,91A,1706,2024-02-17
SCMN,15,61,2024-02-17
FSYO,56,2205,2024-02-17
NATX,170,171732,2024-02-18
PCCO,50,1750,2024-02-17
SCEM,22,5022,2024-02-18
SCMN,192,269,2024-02-18
WBTR,20,7983,2024-02-18
HUYT,2481,1845,2024-02-18
SCMN,255,40,2024-02-18
BEVC,393,1750,2024-02-17
AMSY,310,5021,2024-02-18
AMSY,62,5039,2024-02-18
AMSY,10B,5060,2024-02-18
AMSY,68A,5026,2024-02-18
AMSY,13,5123,2024-02-18
SCMN,86,321,2024-02-18
SCMN,314,8005,2024-02-18
AMSY,27,5059,2024-02-18
SCMN,255,9013,2024-02-18
SCMN,11,8120,2024-02-17
SCMY,17A,150,2024-02-17
AMSY,52A,5024,2024-02-18
AMSY,15,3094,2024-02-17
SCMN,325,63,2024-02-18
AMSY,345,5019,2024-02-18
WBTR,22A,8590,2024-02-18
ANWE,79C,5043,2024-02-18
SYRK,221,10,2024-02-18
AMSY,52,5028,2024-02-18
SYRK,25,42,2024-02-18
FSYO,95,1655,2024-02-18
WBTR,19,7534,2024-02-18
WBTR,1,4195,2024-02-18
NATX,560,564807,2024-02-18
HUYT,33,1912,2024-02-18
FSYO,X10,1910,2024-02-17
AMSY,188,5021,2024-02-18
FSYO,51,1112K,2024-02-18
SCMN,383,9041,2024-02-18
SCMN,11,9144,2024-02-18
AMSY,62,3041,2024-02-17
AMSY,10A,5205,2024-02-18
AMSY,27,5061,2024-02-18
SYRK,52,51,2024-02-18
SYRK,86,46,2024-02-17
SYRK,61,521,2024-02-17
WBTR,24,2929,2024-02-17
LCIS,City_Beatles_Tour,VJ_22,2024-02-17
SCMN,103,9013,2024-02-18
SCMN,85,47,2024-02-18
SCMN,111,60,2024-02-18
SCMN,192,298,2024-02-18
SCMN,192,391,2024-02-17
SCMN,368,9049,2024-02-18
SCMN,384,9043,2024-02-18
SCMN,192,300,2024-02-18
SCMY,10A,44,2024-02-18
SCMN,15,9021,2024-02-18
FSYO,18,1250J,2024-02-17
HOWT,62,VJ_11,2024-02-17
WBTR,13,5925,2024-02-17
CUBU,239S,1710,2024-02-17
LCIS,25,VJ_57,2024-02-18
FSYO,115,1904,2024-02-18
WBTR,3,4618,2024-02-18
SCMN,43,64,2024-02-17
FSYO,76,1026,2024-02-17
FSYO,8,1803,2024-02-17
HUYT,102,1705,2024-02-18
SCMN,143,85,2024-02-18
SYRK,10,521,2024-02-17
SYRK,86,50,2024-02-17
SYRK,72,522,2024-02-17
SCEM,106,6514,2024-02-17
STOT,343,1748,2024-02-17
GONW,100,0389,2024-02-18
FSYO,11,1930,2024-02-18
FSYO,X5,1830,2024-02-18
FSYO,95a,1859,2024-02-18
FSYO,X78,1708C,2024-02-18
FSYO,52a,2022K,2024-02-17
FSYO,18,1635J,2024-02-17
FSYO,98,1917,2024-02-18
SCMN,142,131,2024-02-18
SCMN,11,9147,2024-02-18
FSYO,52a,1911G,2024-02-18
SCMN,43,81,2024-02-18
SCMN,384,8081,2024-02-18
SCMN,382,8017,2024-02-17
SCEM,107,6513,2024-02-17
AMSY,60,5050,2024-02-18
AMSY,329,5023,2024-02-18
AMSY,79,5073,2024-02-18
AMSY,433,5041,2024-02-18
AMSY,18,5065,2024-02-18
AMSY,61,5050,2024-02-18
ANWE,61,5521,2024-02-18
SCMN,86,275,2024-02-18
AMSY,7,5042,2024-02-18
AMSY,411,3041,2024-02-17
SCMN,203,185,2024-02-18
SCMN,375,8004,2024-02-17
SCMN,86,313,2024-02-17
SCMY,21,96,2024-02-18
SCMY,14,67,2024-02-18
SCMY,53,42,2024-02-18
AMSY,68A,5039,2024-02-18
AMSY,7,3054,2024-02-17
AMSY,10A,5118,2024-02-18
AMSY,89,3067,2024-02-17
AMSY,53,5059,2024-02-18
AMSY,13,5115,2024-02-18
SCMN,192,292,2024-02-18
FSYO,20,2245C,2024-02-17
SCMY,N1,2,2024-02-18
AMSY,79,5078,2024-02-18
SCMN,343,9010,2024-02-18
SCMN,111,99,2024-02-17
FSYO,120,1913,2024-02-18
FSYO,56,1805,2024-02-18
SYRK,218,31,2024-02-17
SCMN,192,227,2024-02-17
WBTR,32,8706,2024-02-18
GONW,100,0373,2024-02-17
WBTR,1,4166,2024-02-17
SCMN,50,61,2024-02-18
SCMN,111,81,2024-02-17
SCMN,370,9021,2024-02-18
SCMN,111,109,2024-02-17
SCMY,10A,64,2024-02-18
SCMY,10A,47,2024-02-18
SYRK,1,94,2024-02-17
FSYO,51,1848K,2024-02-18
AMSY,7,3055,2024-02-17
AMSY,407,3071,2024-02-17
AMSY,86A,5089,2024-02-18
SCMN,256,48,2024-02-18
AMSY,432,3082,2024-02-17
AMSY,699,5033,2024-02-18
AMSY,699,3053,2024-02-17
AMSY,407,3076,2024-02-17
FSYO,75,1900,2024-02-18
FSYO,98,2246B,2024-02-17
FSYO,18,1745J,2024-02-17
FSYO,97,1714B,2024-02-17
FSYO,8,2254,2024-02-17
FSYO,8,1733,2024-02-17
SYRK,137,516,2024-02-17
FSYO,X78,1202C,2024-02-17
FSYO,75,1844,2024-02-17
SYRK,120,50,2024-02-18
SYRK,88,42,2024-02-18
SYRK,57,512,2024-02-18
WBTR,19,7456,2024-02-17
SYRK,7,54,2024-02-17
WBTR,25,8932,2024-02-17
WBTR,CAT6,5372,2024-02-18
AMSY,82,5096,2024-02-18
SCMN,50,83,2024-02-18
SCMN,143,107,2024-02-18
SCMN,314,8105,2024-02-17
SCMN,25,9036,2024-02-18
SCMN,42B,8034,2024-02-17
AMSY,76,3031,2024-02-17
AMSY,79,5075,2024-02-18
AMSY,10B,5036,2024-02-18
TMTL,218,711805,2024-02-18
TMTL,X54,1033,2024-02-18
PCCO,40B,1720,2024-02-17
FSYO,75,1525,2024-02-17
SYRK,88,86,2024-02-17
FSYO,142,1745,2024-02-17
SCMY,86C,75,2024-02-17
FSYO,8,1703,2024-02-17
ANWE,110,5039,2024-02-18
ANWE,19,5020,2024-02-18
SYRK,52,50,2024-02-18
SYRK,25,96,2024-02-17
HUYT,102,1905,2024-02-18
SYRK,2,518,2024-02-18
SYRK,2,552,2024-02-18
SYRK,88,40,2024-02-18
AMSY,10A,3105,2024-02-17
HIPK,199,1845,2024-02-17
SYRK,221,50,2024-02-17
SYRK,21,533,2024-02-18
SYRK,218,9,2024-02-18
AMSY,61,5054,2024-02-18
SYRK,61,523,2024-02-17
SYRK,137,524,2024-02-17
SCMN,143,50,2024-02-17
SYRK,114,525,2024-02-17
LCIS,City_Beatles_Tour,VJ_24,2024-02-18
SCMN,101,9057,2024-02-18
SCMN,23,9004,2024-02-18
WBTR,CAT7,5504,2024-02-17
WBTR,14,6115,2024-02-17
AMSY,18,3123,2024-02-17
FSYO,81,2024,2024-02-17
AMSY,34A,5024,2024-02-18
AMSY,464,5038,2024-02-18
AMSY,7,5047,2024-02-18
HUYT,174,1133,2024-02-18
SCMY,10A,37,2024-02-18
SCMN,192,287,2024-02-18
SCMN,192,440,2024-02-17
SCMN,192,291,2024-02-18
AMSY,Rail,1001,2024-02-18
SCMN,197,9021,2024-02-18
SCMY,19,67,2024-02-18
AMSY,10B,5048,2024-02-18
AMSY,18,5059,2024-02-18
AMSY,13,5131,2024-02-18
AMSY,53,5038,2024-02-18
WBTR,17,6952,2024-02-17
WBTR,17,6991,2024-02-18
AMSY,9,3047,2024-02-17
AMSY,27,5067,2024-02-18
FSYO,18,1714G,2024-02-17
FSYO,97,1824B,2024-02-17
GTRI,370,1729,2024-02-17
FSYO,X78,1909C,2024-02-18
FSYO,75,1911A,2024-02-18
FSYO,X78,1838C,2024-02-18
FSYO,95a,2052,2024-02-17
FSYO,76,1558,2024-02-17
AMSY,15,5035,2024-02-18
SYRK,X17,61,2024-02-17
RDCA,309,1834,2024-02-18
AMSY,75,5062,2024-02-18
AMSY,437,3114,2024-02-17
AMSY,7,5043,2024-02-18
SCMN,313,9037,2024-02-18
SCMN,197,9017,2024-02-18
SCMN,101,9065,2024-02-18
SCMN,172,9023,2024-02-18
SCMN,327,9012,2024-02-18
WBTR,22A,8580,2024-02-18
SCMY,20,74,2024-02-17
SCMN,237,9025,2024-02-18
SCMY,17,82,2024-02-18
SCMN,255,9009,2024-02-18
CUBU,239S,1425,2024-02-17
SCMY,20,98,2024-02-18
FSYO,X1,2004,2024-02-17
FSYO,X1,1841,2024-02-18
SCMN,192,288,2024-02-18
SCMN,368,9048,2024-02-18
SCMN,101,9019,2024-02-18
SCMN,205,8051,2024-02-18
SCMY,86C,85,2024-02-17
SCMN,25,9038,2024-02-18
SCMN,383,9039,2024-02-18
SCMN,384,8073,2024-02-17
SCMY,86,80,2024-02-18
SYRK,X17,30,2024-02-18
SCEM,100,6522,2024-02-17
AMSY,437,3156,2024-02-18
AMSY,437,5146,2024-02-18
AMSY,15,5033,2024-02-18
SCEM,98,6512,2024-02-17
AMSY,437,5086,2024-02-18
AMSY,15,5037,2024-02-18
AMSY,13,5127,2024-02-18
SCEM,95,6510,2024-02-17
HIPK,61,1820,2024-02-17
SCMN,150,9023,2024-02-18
SCMN,203,143,2024-02-17
SCMN,15,55,2024-02-17
SCMN,101,9070,2024-02-18
SCMY,19,70,2024-02-18
SCMN,312,9035,2024-02-18
SCMN,192,289,2024-02-17
SCMN,192,295,2024-02-18
SCMN,322,8006,2024-02-17
SCMN,15,8009,2024-02-18
FSYO,52a,1851J,2024-02-18
WBTR,25,8988,2024-02-18
AMSY,62,5048,2024-02-18
ANWE,263,5039,2024-02-18
TMTL,30A,711915,2024-02-18
FSYO,120,1717,2024-02-17
FSYO,X1,1818,2024-02-18
FSYO,95a,1906,2024-02-18
FSYO,10,1645C,2024-02-18
FSYO,140,1728,2024-02-17
FSYO,139,1748,2024-02-17
ANWE,245,3028,2024-02-17
SYRK,2A,48,2024-02-17
AMSY,201,3005,2024-02-17
AMSY,80A,5067,2024-02-18
AMSY,437,5074,2024-02-18
AMSY,76,5026,2024-02-18
AMSY,80A,5070,2024-02-18
AMSY,464,3042,2024-02-17
AMSY,58A,5023,2024-02-18
AMSY,75,5057,2024-02-18
GTRI,87,1602,2024-02-17
SCMN,192,293,2024-02-18
AMSY,35,3048,2024-02-17
AMSY,423,3069,2024-02-18
WBTR,16,6711,2024-02-17
SYRK,221,514,2024-02-18
AMSY,410,5048,2024-02-18
SCMN,205,9033,2024-02-18
AMSY,81,5039,2024-02-18
AMSY,89,5036,2024-02-18
AMSY,7,5040,2024-02-18
SCMN,383,9043,2024-02-18
SCMN,192,283,2024-02-18
SCMN,101,9055,2024-02-18
SCMY,53,44,2024-02-18
SCMY,53,48,2024-02-18
AMSY,68A,5041,2024-02-18
AMSY,60,5051,2024-02-18
AMSY,432,5042,2024-02-18
AMSY,432,5045,2024-02-18
AMSY,31,5052,2024-02-18
SCMN,192,285,2024-02-18
SCMY,20,103,2024-02-18
GONW,41,1622,2024-02-18
SCMN,201,47,2024-02-18
SCMY,86,81,2024-02-18
ANWE,19,5022,2024-02-18
ANWE,61,5522,2024-02-18
SCMY,217A,27,2024-02-18
AMSY,410,5050,2024-02-18
HUYT,1591,1931,2024-02-18
AMSY,329,5022,2024-02-18
SCMN,103,9029,2024-02-18
NATX,120,121221,2024-02-18
SCMN,203,91,2024-02-18
SCMN,327,9019,2024-02-18
SCMN,237,9026,2024-02-18
